state,Location,White,Black,Hispanic,total,year,,,,,,,,
DE,Delaware,580400,191900,83300,918300,2015,,,,,,,,
DC,District of Columbia,225000,299400,68100,634800,2015,,,,,,,,
FL,Florida,10934500,3027300,4883700,19812500,2015,,,,,,,,
GA,Georgia,5346500,3039500,922200,9909700,2015,,,,,,,,
HI,Hawaii,295700,19700,137100,1362600,2015,,,,,,,,
ID,Idaho,1339100,9100,192800,1617200,2015,,,,,,,,
IL,Illinois,7770700,1739800,2134700,12549700,2015,,,,,,,,
IN,Indiana,5141100,575400,424500,6415100,2015,,,,,,,,
IA,Iowa,2625300,93200,169900,3019800,2015,,,,,,,,
KS,Kansas,2155100,159100,326000,2816600,2015,,,,,,,,
KY,Kentucky,3662100,332100,139600,4283400,2015,,,,,,,,
LA,Louisiana,2692200,1438800,220800,4530300,2015,,,,,,,,
ME,Maine,1211100,13700,19300,1292600,2015,,,,,,,,
MD,Maryland,3032100,1680700,557200,5838300,2015,,,,,,,,
MA,Massachusetts,4792000,437900,729300,6555600,2015,,,,,,,,
MI,Michigan,7341600,1320200,473300,9693800,2015,,,,,,,,
MN,Minnesota,4350500,303500,271400,5365600,2015,,,,,,,,
MS,Mississippi,1655400,1089000,77000,2889300,2015,,,,,,,,
MO,Missouri,4723300,667000,229600,5890900,2015,,,,,,,,
MT,Montana,873900,5100,35800,1005900,2015,,,,,,,,
NE,Nebraska,1475100,88200,191300,1838400,2015,,,,,,,,
NV,Nevada,1437900,229800,801900,2842700,2015,,,,,,,,
NH,New Hampshire,1175700,14600,42000,1287600,2015,,,,,,,,
NJ,New Jersey,4933200,1084500,1732200,8776300,2015,,,,,,,,
NM,New Mexico,780300,33700,980800,2035300,2015,,,,,,,,
NY,New York,10771000,2737800,3641400,19269200,2015,,,,,,,,
NC,North Carolina,6213600,2063700,888700,9733700,2015,,,,,,,,
ND,North Dakota,626300,9800,24600,726400,2015,,,,,,,,
OH,Ohio,9026200,1349300,396000,11293300,2015,,,,,,,,
OK,Oklahoma,2524700,260000,383500,3783700,2015,,,,,,,,
OR,Oregon,3029100,67500,499700,3948700,2015,,,,,,,,
PA,Pennsylvania,9614500,1267000,830600,12386400,2015,,,,,,,,
RI,Rhode Island,743500,52800,148000,1014400,2015,,,,,,,,
SC,South Carolina,3031800,1279000,249800,4734000,2015,,,,,,,,
SD,South Dakota,686800,11400,28100,829000,2015,,,,,,,,
TN,Tennessee,4782000,1063400,325900,6422800,2015,,,,,,,,
TX,Texas,11500100,3074800,10466100,26777500,2015,,,,,,,,
UT,Utah,2326300,32400,403000,2945200,2015,,,,,,,,
VT,Vermont,563900,7400,9300,602400,2015,,,,,,,,
